sondaje_sk,sondaje_cd,contrato_sk,sondaje_padre_sk,tipo_taladro,profundidad_programada_m,inclinacion_grados
-1,NO_ASIGNADO,-1,-1,ORIGINAL,0.0,0.0
1,AME26117,1,-1,ORIGINAL,300.0,-45.0
2,AME26118,1,-1,ORIGINAL,300.0,-45.0
3,AME26120,1,-1,ORIGINAL,300.0,-45.0
4,SIN SONDAJE,1,-1,ORIGINAL,300.0,-45.0
5,DDHSAN 26041,2,-1,ORIGINAL,300.0,-45.0
6,DDHUAN 26042,2,-1,ORIGINAL,300.0,-45.0
7,DDHUAN 26044,2,-1,ORIGINAL,300.0,-45.0
8,DDHUANSE-26043,2,-1,ORIGINAL,300.0,-45.0
9,SIN SONDAJE,2,-1,ORIGINAL,300.0,-45.0
10,SIN SONDAJE,3,-1,ORIGINAL,300.0,-45.0
11,UDH-3806–2026,3,-1,ORIGINAL,300.0,-45.0
12,UDH-3808–2026,3,-1,ORIGINAL,300.0,-45.0
13,UDH-3809–2026,3,-1,ORIGINAL,300.0,-45.0
14,UDH-3810–2026,3,-1,ORIGINAL,300.0,-45.0
15,UDH-3811–2026,3,-1,ORIGINAL,300.0,-45.0
16,UDH-3812–2026,3,-1,ORIGINAL,300.0,-45.0
17,UDH-3813-2026,3,-1,ORIGINAL,300.0,-45.0
18,UDH-3814–2026,3,-1,ORIGINAL,300.0,-45.0
19,DDHUCE-26024,4,-1,ORIGINAL,300.0,-45.0
20,DDHUCE-26025,4,-1,ORIGINAL,300.0,-45.0
21,SIN SONDAJE,4,-1,ORIGINAL,300.0,-45.0
22,DDHSCHSE26076,5,-1,ORIGINAL,300.0,-45.0
23,DDHUCH26005,5,-1,ORIGINAL,300.0,-45.0
24,DDHUCH26010,5,-1,ORIGINAL,300.0,-45.0
25,DDHUCH26011,5,-1,ORIGINAL,300.0,-45.0
26,DDHUCH26012,5,-1,ORIGINAL,300.0,-45.0
27,DDHUCH26013,5,-1,ORIGINAL,300.0,-45.0
28,DDHUCH26075,5,-1,ORIGINAL,300.0,-45.0
29,DDHUES26005,5,-1,ORIGINAL,300.0,-45.0
30,SIN SONDAJE,5,-1,ORIGINAL,300.0,-45.0
31,COM-26-196,6,-1,ORIGINAL,300.0,-45.0
32,COM-26-197,6,-1,ORIGINAL,300.0,-45.0
33,COM-26-198,6,-1,ORIGINAL,300.0,-45.0
34,COM-26-199,6,-1,ORIGINAL,300.0,-45.0
35,COM-26-200,6,-1,ORIGINAL,300.0,-45.0
